sub_num,sub_name,sub_label,sub_value
1,Roger Hall,General comment,"Ensure AI has built in prime directives that cannot be avoided. Then simply make securely working, safe part of the list of prime directives."
1,Roger Hall,Q02 Other AI risks and recommendations for regulation,Ensure AI have prime directives which are suitable.
1,Roger Hall,Q04 Coordinating AI governance across government,Federal AI law overrides State AI law.
1,Roger Hall,Q06 Public vs Private sector governance,"Same, except Intelligence,Military have own prime directives."
1,Roger Hall,Q08 Generic vs technology-specific approaches for AI risk,Prime Directives in the AI technology will be best to mitigate risks.
1,Roger Hall,Q09 Transparency requirements and scope,In development and testing phases of AI to include with proof and testing proof.
1,Roger Hall,Q10 Ban on high-risk AI applications,Only ban AI with no suitable prime directives builtin.
1,Roger Hall,Q11 Actions to increase public trust in AI,"Secure, reliable, safe prime directives would be part of list suitable."
1,Roger Hall,Q12 Trade impact of banning high-risk AI applications,N/a
1,Roger Hall,Q13 Changes to conformity infrastructure,Tested proof of AI prime directives for AI license.
1,Roger Hall,Q14 Risk-based approach to address AI risks,Prime Directives builtin is best approach.
1,Roger Hall,Q17 Elements to include in risk-based approach,Prevent risks by use of logical prime directives builtin to AI products.
1,Roger Hall,Q19 Application of risk-based approach to general purpose AI,New AI with logical prime directives versions required.
1,Roger Hall,Q20 Voluntary vs mandated compliance with risk-based approach,Mandated by developers.
2,Ben Blackburn Racing,Transcription,"FILENAME: Ben Blackburn Racing public submission on the Australian Government’s Supporting Safe and Responsible Artificial Intelligence Discussion Paper 1.06.2023.9e95dcf858922.pdf | CONTENT: Ben Blackburn Racing submission on the Australian Government’s Supporting Safe and Responsible Artificial Intelligence Discussion Paper June 20230 Thursday, 1st June 2023Supporting safe and responsible AI in Australia: discussion paper Department of Industry, Science and Resources GPO Box 2013 Canberra ACT 2601Emailed to: DigitalEconomy@industry.gov.auTo whom it may concern,PUBLIC SUBMISSIONI am extremely pleased to provide this public submission in response to the Australian Government’s release of its Supporting safe and responsible AI in Australia Discussion Paper for public consultation. Feedback on this discussion paper is sought by Wednesday 26th July 2023.We acknowledge that public consultation on this discussion paper is an opportunity to work together and Ben Blackburn Racing values the o"
2,Ben Blackburn Racing,Transcription,"FILENAME: BBR Cover Letter on Supporting a Safe and Responsible AI in Australia submission 1.06.2023.0531fbb124d4a.pdf | CONTENT: Thursday, 1st June 2023 Supporting safe and responsible AI in Australia: discussion paper Department of Industry, Science and Resources GPO Box 2013 Canberra ACT 2601Emailed to: DigitalEconomy@industry.gov.au To whom it may concern, We are extremely pleased to provide this public submission in response to the Australian Government’s release of its Supporting safe and responsible AI in Australia Discussion Paper for public consultation. Feedback on this discussion paper is sought by Wednesday 26th July 2023.We are extremely pleased to provide this public submission to add our voice to the national conversation on supporting a safe and responsible AI in Australia.Thank you very much for taking the time to read and consider this correspondence and our Ben Blackburn Racing public submission attached. We look forward to your reply.Kind regards,___________________"
2,Ben Blackburn Racing,Q01 Definitions,Yes
4,Gary Looney,Transcription,"FILENAME: Submission to Responsible AI in Australia – Gary Looney – 1 June 2023.2c07cdd55a85b.pdf | CONTENT: Submission to Responsible AI in Australia – Gary Looney – 1 June 2023I imported ZX80 PC from UK 43yr ago at 14yr old, after building kit computer from components. Added speech interface, reworked Elisa simulated chat program. My Father a 'Sheep Shearer' laughed at me asking when’s it going to talk like Metal Micky? The rest is history.AI is Big Data, Human Behaviour, UI analysis and automated system programming. Big businesses analyse massive data sets to design Acc/Complaint Systems and legally control people’s actions and options, claiming it’s only used for efficiency. Who could seriously trust this, given experience? Were putting foxes in hen house and at gate.AI Safety Laws, regulation and regulatory bodies. We need input from vulnerable unpaid non advocate people to reduce business, political and advocacy bias. There's no benefit to anybody if any substantial business impa"
4,Gary Looney,General comment,"End-use Laws will protect public from harm, where focus on controlling development will stifle and monopolise for profits. As stated, trying to control development is futile because of ability and cost to police and the market for add on or modified product that will be supplied globally. The public need protection from bad actors that will string technology together to rob them. This is a case where Business and Government interests are against the public interest. Gary."
4,Gary Looney,Q01 Definitions,Refer to my Submission
